data_name,model,max_acc
4mC_C.equisetifolia,4mC_dzy.pth,0.8743
4mC_C.equisetifolia,4mC_dzy.pth,0.8770
4mC_C.equisetifolia,4mC_dzy.pth,0.8716
4mC_C.equisetifolia,4mC_dzy.pth,0.8716
4mC_C.equisetifolia,4mC_dzy.pth,0.8770
4mC_F.vesca,4mC_dzy.pth,0.8598
4mC_F.vesca,4mC_dzy.pth,0.8584
4mC_F.vesca,4mC_dzy.pth,0.8593
4mC_F.vesca,4mC_dzy.pth,0.8591
4mC_F.vesca,4mC_dzy.pth,0.8577
4mC_S.cerevisiae,4mC_dzy.pth,0.7563
4mC_S.cerevisiae,4mC_dzy.pth,0.7543
4mC_S.cerevisiae,4mC_dzy.pth,0.7548
4mC_S.cerevisiae,4mC_dzy.pth,0.7518
4mC_S.cerevisiae,4mC_dzy.pth,0.7508
4mC_Tolypocladium,4mC_dzy.pth,0.7481
4mC_Tolypocladium,4mC_dzy.pth,0.7470
4mC_Tolypocladium,4mC_dzy.pth,0.7477
4mC_Tolypocladium,4mC_dzy.pth,0.7472
4mC_Tolypocladium,4mC_dzy.pth,0.7466
5hmC_H.sapiens,5hmC_dzy.pth,0.9509
5hmC_H.sapiens,5hmC_dzy.pth,0.9509
5hmC_H.sapiens,5hmC_dzy.pth,0.9501
5hmC_H.sapiens,5hmC_dzy.pth,0.9505
5hmC_H.sapiens,5hmC_dzy.pth,0.9505
5hmC_M.musculus,5hmC_dzy.pth,0.9674
5hmC_M.musculus,5hmC_dzy.pth,0.9674
5hmC_M.musculus,5hmC_dzy.pth,0.9676
5hmC_M.musculus,5hmC_dzy.pth,0.9671
5hmC_M.musculus,5hmC_dzy.pth,0.9674
6mA_A.thaliana,6mA_dzy.pth,0.8674
6mA_A.thaliana,6mA_dzy.pth,0.8673
6mA_A.thaliana,6mA_dzy.pth,0.8678
6mA_A.thaliana,6mA_dzy.pth,0.8667
6mA_A.thaliana,6mA_dzy.pth,0.8663
6mA_C.elegans,6mA_dzy.pth,0.9166
6mA_C.elegans,6mA_dzy.pth,0.9160
6mA_C.elegans,6mA_dzy.pth,0.9148
6mA_C.elegans,6mA_dzy.pth,0.9170
6mA_C.elegans,6mA_dzy.pth,0.9160
6mA_C.equisetifolia,6mA_dzy.pth,0.7621
6mA_C.equisetifolia,6mA_dzy.pth,0.7618
6mA_C.equisetifolia,6mA_dzy.pth,0.7628
6mA_C.equisetifolia,6mA_dzy.pth,0.7613
6mA_C.equisetifolia,6mA_dzy.pth,0.7608
6mA_D.melanogaster,6mA_dzy.pth,0.9290
6mA_D.melanogaster,6mA_dzy.pth,0.9291
6mA_D.melanogaster,6mA_dzy.pth,0.9283
6mA_D.melanogaster,6mA_dzy.pth,0.9294
6mA_D.melanogaster,6mA_dzy.pth,0.9286
6mA_F.vesca,6mA_dzy.pth,0.9455
6mA_F.vesca,6mA_dzy.pth,0.9475
6mA_F.vesca,6mA_dzy.pth,0.9449
6mA_F.vesca,6mA_dzy.pth,0.9449
6mA_F.vesca,6mA_dzy.pth,0.9468
6mA_H.sapiens,6mA_dzy.pth,0.9063
6mA_H.sapiens,6mA_dzy.pth,0.9078
6mA_H.sapiens,6mA_dzy.pth,0.9074
6mA_H.sapiens,6mA_dzy.pth,0.9077
6mA_H.sapiens,6mA_dzy.pth,0.9083
6mA_R.chinensis,6mA_dzy.pth,0.8980
6mA_R.chinensis,6mA_dzy.pth,0.9064
6mA_R.chinensis,6mA_dzy.pth,0.8997
6mA_R.chinensis,6mA_dzy.pth,0.8963
6mA_R.chinensis,6mA_dzy.pth,0.8997
6mA_S.cerevisiae,6mA_dzy.pth,0.8439
6mA_S.cerevisiae,6mA_dzy.pth,0.8479
6mA_S.cerevisiae,6mA_dzy.pth,0.8450
6mA_S.cerevisiae,6mA_dzy.pth,0.8447
6mA_S.cerevisiae,6mA_dzy.pth,0.8479
6mA_Tolypocladium,6mA_dzy.pth,0.7960
6mA_Tolypocladium,6mA_dzy.pth,0.7934
6mA_Tolypocladium,6mA_dzy.pth,0.7919
6mA_Tolypocladium,6mA_dzy.pth,0.7922
6mA_Tolypocladium,6mA_dzy.pth,0.7948
6mA_T.thermophile,6mA_dzy.pth,0.8829
6mA_T.thermophile,6mA_dzy.pth,0.8828
6mA_T.thermophile,6mA_dzy.pth,0.8830
6mA_T.thermophile,6mA_dzy.pth,0.8834
6mA_T.thermophile,6mA_dzy.pth,0.8829
6mA_Xoc_BLS256,6mA_dzy.pth,0.8884
6mA_Xoc_BLS256,6mA_dzy.pth,0.8867
6mA_Xoc_BLS256,6mA_dzy.pth,0.8869
6mA_Xoc_BLS256,6mA_dzy.pth,0.8870
6mA_Xoc_BLS256,6mA_dzy.pth,0.8874
4mC_C.equisetifolia,4mC_dzy.pth,0.8743
4mC_C.equisetifolia,4mC_dzy.pth,0.8743
4mC_C.equisetifolia,4mC_dzy.pth,0.8716
4mC_C.equisetifolia,4mC_dzy.pth,0.8743
4mC_C.equisetifolia,4mC_dzy.pth,0.8716
4mC_C.equisetifolia,4mC_dzy.pth,0.8716
4mC_C.equisetifolia,4mC_dzy.pth,0.8716
4mC_C.equisetifolia,4mC_dzy.pth,0.8770
4mC_C.equisetifolia,4mC_dzy.pth,0.8743
4mC_C.equisetifolia,4mC_dzy.pth,0.8743
4mC_C.equisetifolia,4mC_dzy.pth,0.8716
4mC_C.equisetifolia,4mC_dzy.pth,0.8743
4mC_C.equisetifolia,4mC_dzy.pth,0.8743
4mC_C.equisetifolia,4mC_dzy.pth,0.8770
4mC_C.equisetifolia,4mC_dzy.pth,0.8689
4mC_F.vesca,4mC_dzy.pth,0.8591
4mC_F.vesca,4mC_dzy.pth,0.8593
4mC_F.vesca,4mC_dzy.pth,0.8597
4mC_F.vesca,4mC_dzy.pth,0.8595
4mC_F.vesca,4mC_dzy.pth,0.8581
4mC_F.vesca,4mC_dzy.pth,0.8579
4mC_F.vesca,4mC_dzy.pth,0.8581
4mC_F.vesca,4mC_dzy.pth,0.8591
4mC_F.vesca,4mC_dzy.pth,0.8581
4mC_F.vesca,4mC_dzy.pth,0.8586
4mC_F.vesca,4mC_dzy.pth,0.8574
4mC_F.vesca,4mC_dzy.pth,0.8599
4mC_F.vesca,4mC_dzy.pth,0.8598
4mC_F.vesca,4mC_dzy.pth,0.8577
4mC_F.vesca,4mC_dzy.pth,0.8585
4mC_S.cerevisiae,4mC_dzy.pth,0.7538
4mC_S.cerevisiae,4mC_dzy.pth,0.7518
4mC_S.cerevisiae,4mC_dzy.pth,0.7563
4mC_S.cerevisiae,4mC_dzy.pth,0.7528
4mC_S.cerevisiae,4mC_dzy.pth,0.7563
4mC_S.cerevisiae,4mC_dzy.pth,0.7523
4mC_S.cerevisiae,4mC_dzy.pth,0.7568
4mC_S.cerevisiae,4mC_dzy.pth,0.7563
4mC_S.cerevisiae,4mC_dzy.pth,0.7568
4mC_S.cerevisiae,4mC_dzy.pth,0.7553
4mC_S.cerevisiae,4mC_dzy.pth,0.7543
4mC_S.cerevisiae,4mC_dzy.pth,0.7533
4mC_S.cerevisiae,4mC_dzy.pth,0.7543
4mC_S.cerevisiae,4mC_dzy.pth,0.7533
4mC_S.cerevisiae,4mC_dzy.pth,0.7503
4mC_Tolypocladium,4mC_dzy.pth,0.7489
4mC_Tolypocladium,4mC_dzy.pth,0.7484
4mC_Tolypocladium,4mC_dzy.pth,0.7455
4mC_Tolypocladium,4mC_dzy.pth,0.7456
4mC_Tolypocladium,4mC_dzy.pth,0.7481
4mC_Tolypocladium,4mC_dzy.pth,0.7479
4mC_Tolypocladium,4mC_dzy.pth,0.7479
4mC_Tolypocladium,4mC_dzy.pth,0.7476
4mC_Tolypocladium,4mC_dzy.pth,0.7487
4mC_Tolypocladium,4mC_dzy.pth,0.7471
4mC_Tolypocladium,4mC_dzy.pth,0.7461
4mC_Tolypocladium,4mC_dzy.pth,0.7485
4mC_Tolypocladium,4mC_dzy.pth,0.7489
4mC_Tolypocladium,4mC_dzy.pth,0.7473
4mC_Tolypocladium,4mC_dzy.pth,0.7473
5hmC_H.sapiens,5hmC_dzy.pth,0.9501
5hmC_H.sapiens,5hmC_dzy.pth,0.9514
5hmC_H.sapiens,5hmC_dzy.pth,0.9518
5hmC_H.sapiens,5hmC_dzy.pth,0.9514
5hmC_H.sapiens,5hmC_dzy.pth,0.9501
5hmC_H.sapiens,5hmC_dzy.pth,0.9505
5hmC_H.sapiens,5hmC_dzy.pth,0.9505
5hmC_H.sapiens,5hmC_dzy.pth,0.9501
5hmC_H.sapiens,5hmC_dzy.pth,0.9505
5hmC_H.sapiens,5hmC_dzy.pth,0.9509
5hmC_H.sapiens,5hmC_dzy.pth,0.9509
5hmC_H.sapiens,5hmC_dzy.pth,0.9514
5hmC_H.sapiens,5hmC_dzy.pth,0.9492
5hmC_H.sapiens,5hmC_dzy.pth,0.9505
5hmC_H.sapiens,5hmC_dzy.pth,0.9509
5hmC_M.musculus,5hmC_dzy.pth,0.9674
5hmC_M.musculus,5hmC_dzy.pth,0.9674
5hmC_M.musculus,5hmC_dzy.pth,0.9674
5hmC_M.musculus,5hmC_dzy.pth,0.9674
5hmC_M.musculus,5hmC_dzy.pth,0.9674
5hmC_M.musculus,5hmC_dzy.pth,0.9676
5hmC_M.musculus,5hmC_dzy.pth,0.9676
5hmC_M.musculus,5hmC_dzy.pth,0.9674
5hmC_M.musculus,5hmC_dzy.pth,0.9674
5hmC_M.musculus,5hmC_dzy.pth,0.9674
5hmC_M.musculus,5hmC_dzy.pth,0.9674
5hmC_M.musculus,5hmC_dzy.pth,0.9674
5hmC_M.musculus,5hmC_dzy.pth,0.9671
5hmC_M.musculus,5hmC_dzy.pth,0.9674
5hmC_M.musculus,5hmC_dzy.pth,0.9674
6mA_A.thaliana,6mA_dzy.pth,0.8675
6mA_A.thaliana,6mA_dzy.pth,0.8682
6mA_A.thaliana,6mA_dzy.pth,0.8676
6mA_A.thaliana,6mA_dzy.pth,0.8679
6mA_A.thaliana,6mA_dzy.pth,0.8672
6mA_A.thaliana,6mA_dzy.pth,0.8674
6mA_A.thaliana,6mA_dzy.pth,0.8670
6mA_A.thaliana,6mA_dzy.pth,0.8676
6mA_A.thaliana,6mA_dzy.pth,0.8668
6mA_A.thaliana,6mA_dzy.pth,0.8676
6mA_A.thaliana,6mA_dzy.pth,0.8671
6mA_A.thaliana,6mA_dzy.pth,0.8665
6mA_A.thaliana,6mA_dzy.pth,0.8699
6mA_A.thaliana,6mA_dzy.pth,0.8673
6mA_A.thaliana,6mA_dzy.pth,0.8663
6mA_C.elegans,6mA_dzy.pth,0.9167
6mA_C.elegans,6mA_dzy.pth,0.9167
6mA_C.elegans,6mA_dzy.pth,0.9153
6mA_C.elegans,6mA_dzy.pth,0.9175
6mA_C.elegans,6mA_dzy.pth,0.9163
6mA_C.elegans,6mA_dzy.pth,0.9167
6mA_C.elegans,6mA_dzy.pth,0.9155
6mA_C.elegans,6mA_dzy.pth,0.9157
6mA_C.elegans,6mA_dzy.pth,0.9175
6mA_C.elegans,6mA_dzy.pth,0.9161
6mA_C.elegans,6mA_dzy.pth,0.9170
6mA_C.elegans,6mA_dzy.pth,0.9172
6mA_C.elegans,6mA_dzy.pth,0.9158
6mA_C.elegans,6mA_dzy.pth,0.9158
6mA_C.elegans,6mA_dzy.pth,0.9165
6mA_C.equisetifolia,6mA_dzy.pth,0.7616
6mA_C.equisetifolia,6mA_dzy.pth,0.7616
6mA_C.equisetifolia,6mA_dzy.pth,0.7611
6mA_C.equisetifolia,6mA_dzy.pth,0.7593
6mA_C.equisetifolia,6mA_dzy.pth,0.7626
6mA_C.equisetifolia,6mA_dzy.pth,0.7629
6mA_C.equisetifolia,6mA_dzy.pth,0.7633
6mA_C.equisetifolia,6mA_dzy.pth,0.7616
6mA_C.equisetifolia,6mA_dzy.pth,0.7611
6mA_C.equisetifolia,6mA_dzy.pth,0.7611
6mA_C.equisetifolia,6mA_dzy.pth,0.7633
6mA_C.equisetifolia,6mA_dzy.pth,0.7628
6mA_C.equisetifolia,6mA_dzy.pth,0.7629
6mA_C.equisetifolia,6mA_dzy.pth,0.7623
6mA_C.equisetifolia,6mA_dzy.pth,0.7608
6mA_D.melanogaster,6mA_dzy.pth,0.9288
6mA_D.melanogaster,6mA_dzy.pth,0.9289
6mA_D.melanogaster,6mA_dzy.pth,0.9282
6mA_D.melanogaster,6mA_dzy.pth,0.9293
6mA_D.melanogaster,6mA_dzy.pth,0.9286
